Contract,PaymentMethod_Electronic check,InternetService_Fiber optic,TotalCharges,TechSupport,PaperlessBilling,Dependents,SeniorCitizen,PhoneService,gender_Male,Churn
1,1,0,29.85,0,1,0,0,0,0,0
2,0,0,1889.5,0,0,0,0,1,1,0
1,0,0,108.15,0,1,0,0,1,1,1
2,0,0,1840.75,1,0,0,0,0,1,0
1,1,1,151.65,0,1,0,0,1,0,1
1,1,1,820.5,0,1,0,0,1,0,1
1,0,1,1949.4,0,1,1,0,1,1,0
1,0,0,301.9,0,0,0,0,0,0,0
1,1,1,3046.05,1,1,0,0,1,0,1
2,0,0,3487.95,0,0,1,0,1,1,0
1,0,0,587.45,0,1,1,0,1,1,0
3,0,0,326.8,0,0,0,0,1,1,0
2,0,1,5681.1,0,0,0,0,1,1,0
1,0,1,5036.3,0,1,0,0,1,1,1
1,1,1,2686.05,1,1,0,0,1,1,0
3,0,1,7895.15,1,0,1,0,1,0,0
2,0,0,1022.95,0,0,0,0,1,0,0
3,0,1,7382.25,0,0,1,0,1,1,0
1,0,0,528.35,1,0,1,0,1,0,1
1,1,1,1862.9,0,1,0,0,1,0,0
1,1,0,39.65,0,1,0,1,0,1,1
2,0,0,202.25,0,0,0,0,1,1,0
1,0,0,20.15,0,0,0,0,1,1,1
3,0,0,3505.1,1,1,0,0,1,0,0
1,0,0,2970.3,1,0,1,0,1,1,0
1,0,0,1530.6,0,1,0,0,1,0,0
1,1,1,4749.15,0,1,1,0,1,1,1
1,1,0,30.2,0,0,1,0,0,1,1
3,0,0,6369.45,1,1,0,0,1,1,0
1,0,0,1093.1,0,1,1,0,1,0,1
3,0,1,6766.95,1,1,0,1,1,0,0
1,0,1,181.65,0,1,0,1,1,1,0
2,0,0,1874.45,1,0,1,0,1,0,0
1,0,0,20.2,0,0,0,0,1,1,0
1,0,0,45.25,0,0,0,1,1,1,0
3,0,1,7251.7,1,0,1,0,1,0,0
1,1,1,316.9,0,1,0,0,1,1,1
1,0,1,3548.3,0,1,0,0,1,0,0
1,1,1,3549.25,0,1,0,0,1,1,1
1,0,1,1105.4,0,1,0,0,1,0,1
2,0,0,475.7,0,0,1,0,1,1,0
3,0,0,4872.35,0,1,1,0,1,0,0
2,0,0,418.25,0,0,1,0,1,0,0
3,0,0,4861.45,1,1,0,0,1,0,0
1,1,0,981.45,1,1,0,0,1,0,0
1,1,1,3906.7,0,1,0,0,1,0,0
1,0,0,97.0,0,0,0,0,1,1,0
1,1,1,144.15,0,1,0,0,1,0,1
3,0,0,4217.8,1,1,0,0,1,1,0
3,0,0,4254.1,1,1,1,0,1,0,0
1,1,1,3838.75,0,1,0,1,1,0,0
1,0,1,1426.4,0,1,0,0,1,0,1
1,0,0,1752.65,1,1,0,1,1,0,0
1,0,1,633.3,0,1,0,1,1,0,1
2,0,0,4456.35,1,1,1,1,1,0,0
1,1,1,1752.55,0,1,0,1,1,1,1
2,0,1,6311.2,0,1,1,0,1,0,0
2,1,1,7076.35,1,1,1,1,1,1,0
3,0,0,894.3,0,0,1,0,1,0,0
3,0,1,7853.7,1,1,0,0,1,0,0
1,1,1,4707.1,0,1,0,0,1,0,0
1,0,1,5450.7,0,1,0,0,1,1,0
3,0,0,2962.0,0,0,0,0,0,1,0
2,0,0,957.1,1,1,1,0,1,0,0
1,1,1,857.25,0,0,0,0,1,0,1
1,1,0,244.1,1,1,0,0,1,0,0
2,1,1,3650.35,0,1,0,0,1,1,0
3,0,0,2497.2,1,0,0,0,1,0,0
3,0,0,930.9,0,0,1,0,1,0,0
1,0,1,887.35,0,1,0,0,1,1,0
1,0,0,49.05,1,0,0,0,1,1,0
2,1,0,1090.65,0,1,1,0,1,0,0
3,0,1,7099.0,1,1,1,1,1,1,0
3,0,0,1424.6,0,1,1,0,1,1,0
1,0,0,177.4,1,1,1,0,1,0,0
2,1,1,6139.5,0,0,0,1,1,0,0
2,0,0,2688.85,0,0,0,0,1,0,0
1,0,0,482.25,0,0,1,0,1,0,0
1,1,0,2111.3,0,1,0,1,1,1,0
2,0,0,1216.6,0,1,1,0,1,0,0
1,1,1,79.35,0,1,1,0,1,0,1
1,1,0,565.35,0,0,1,0,0,0,0
1,0,1,496.9,0,1,0,0,1,0,1
1,0,1,4327.5,1,1,0,0,1,0,0
3,0,0,973.35,0,1,0,0,1,0,0
1,0,1,918.75,0,1,0,0,1,1,0
2,0,0,2215.45,0,1,0,0,1,0,0
3,0,0,1057.0,0,0,1,0,1,0,0
3,0,0,927.1,0,1,1,0,1,0,0
1,0,0,1009.25,0,0,0,0,0,1,0
